"school","sex","address","famsize","Pstatus","Mjob","Fjob","reason","guardian","age","Medu","Fedu","traveltime","studytime","failures","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","w"
"GP","F","U","GT3","A","at_home","teacher","course","mother",18,3,3,1.5,1.5,1,0.5,0.5,0,0.5,1,1,0.5,0,3.5,3,3.5,1,1.5,3.5,3,6,5,3,47
"GP","F","U","GT3","T","at_home","other","course","father",17,2.5,2.5,1.5,2,0,0.5,1,0,0,0.5,1,0.5,0,4.5,2,3.5,1,1,2,5,5.5,5,6,45
"GP","F","U","LE3","T","at_home","other","other","mother",15,2.5,1.5,1,2.5,1.5,0.5,0.5,1,0.5,1,1,1,0.5,3.5,2.5,2,1.5,2,4,6,11,11,12.5,56
"GP","F","U","GT3","T","health","services","home","mother",15,2.5,1.5,1,2.5,1.5,0.5,0.5,1,0.5,1,1,1,0.5,3.5,2.5,2,1.5,2,4,6,11,11,12.5,56
"GP","F","U","GT3","T","other","other","home","father",16,3.5,3,1,2,0,0,1,1,0.5,1,1,0.5,0,4.5,3.5,2,1,2,5,7,10.5,12.5,12.5,50
"GP","M","U","LE3","T","services","other","reputation","mother",16,3.5,3,1,2,0,0,1,1,0.5,1,1,0.5,0,4.5,3.5,2,1,2,5,7,10.5,12.5,12.5,50
"GP","M","U","LE3","T","other","other","home","mother",16,3,3,1,1.5,0,0,0.5,0,0,1,1,1,0,4,4,4,1,1.5,2.5,2,13,13,12.5,43.5
"GP","F","U","GT3","A","other","teacher","home","mother",17,2.5,2.5,1.5,2,0,0.5,1,0,0,0.5,1,0.5,0,4.5,2,3.5,1,1,2,5,5.5,5,6,45
"GP","M","U","LE3","A","services","other","home","mother",15,3,3,1,2,0,0,1,1,0.5,1,1,1,0,4.5,3.5,1.5,1,1,3,0,15,16.5,17,50.5
"GP","M","U","GT3","T","other","other","home","mother",15,3,3,1,2,0,0,1,1,0.5,1,1,1,0,4.5,3.5,1.5,1,1,3,0,15,16.5,17,50.5
"GP","F","U","GT3","T","teacher","health","reputation","mother",15,3,2.5,2,2.5,0,0,1,0.5,0.5,1,1,1,0,4,2.5,2.5,1,1.5,3,2,10,10,10.5,56.5
"GP","F","U","GT3","T","services","other","reputation","father",15,3,2.5,2,2.5,0,0,1,0.5,0.5,1,1,1,0,4,2.5,2.5,1,1.5,3,2,10,10,10.5,56.5
"GP","M","U","LE3","T","health","services","course","father",15,4,3.5,1.5,1.5,0,0,1,1,0.5,1,1,1,0,4.5,3.5,3,1,2.5,4,2,12,12,12.5,58.5
"GP","M","U","GT3","T","teacher","other","course","mother",15,4,3.5,1.5,1.5,0,0,1,1,0.5,1,1,1,0,4.5,3.5,3,1,2.5,4,2,12,12,12.5,58.5
"GP","M","U","GT3","A","other","other","home","other",15,3,2.5,1,2.5,0,0,0.5,0,0,1,1,1,0.5,4,4.5,1.5,1,1,2,0,13.5,15,15.5,39.5
"GP","F","U","GT3","T","health","other","home","mother",16,3,3,1,1.5,0,0,0.5,0,0,1,1,1,0,4,4,4,1,1.5,2.5,2,13,13,12.5,43.5
"GP","F","U","GT3","T","services","services","reputation","mother",16,3.5,3.5,2,2.5,0,0.5,1,0.5,1,1,1,0.5,0,4,2.5,2.5,1,1.5,3,5,10.5,12,12,51.5
"GP","F","U","GT3","T","other","other","reputation","mother",16,3.5,3.5,2,2.5,0,0.5,1,0.5,1,1,1,0.5,0,4,2.5,2.5,1,1.5,3,5,10.5,12,12,51.5
"GP","M","U","GT3","T","services","services","course","mother",17,2.5,1.5,1.5,1,3,0.5,1,0,1,1,0.5,1,0,4.5,5,3,1.5,2.5,4,9,7,6.5,7.5,46.5
"GP","M","U","LE3","T","health","other","home","father",16,4,2.5,1,1.5,0,0,0,0.5,1,1,1,1,0,3.5,3,2,1,3,5,3,11.5,12.5,13,48.5
"GP","M","U","GT3","T","teacher","other","reputation","mother",15,3,2.5,1,2.5,0,0,0.5,0,0,1,1,1,0.5,4,4.5,1.5,1,1,2,0,13.5,15,15.5,39.5
"GP","M","U","GT3","T","health","health","other","father",15,3,4,1,2,0,0.5,1,1,0.5,1,1,1,0,4.5,3.5,2,1,1,5,1,11,12,11.5,56.5
"GP","M","U","LE3","T","teacher","other","course","mother",16,4,2.5,1,1.5,0,0,0,0.5,1,1,1,1,0,3.5,3,2,1,3,5,3,11.5,12.5,13,48.5
"GP","M","U","LE3","T","other","other","reputation","mother",16,2,2,1.5,1.5,1,0,1,0.5,0.5,0.5,1,1,0,3,3,3,1.5,3.5,5,7,9.5,11,10,47
"GP","F","R","GT3","T","services","health","course","mother",15,3,4,1,2,0,0.5,1,1,0.5,1,1,1,0,4.5,3.5,2,1,1,5,1,11,12,11.5,56.5
"GP","F","U","GT3","T","services","services","home","mother",16,2,2,1.5,1.5,1,0,1,0.5,0.5,0.5,1,1,0,3,3,3,1.5,3.5,5,7,9.5,11,10,47
"GP","M","U","GT3","T","other","other","home","mother",15,3,2,1,1,0,0,0.5,1,0,1,1,1,0,3,2,3,1.5,3,3,3,13.5,14,13,54
"GP","M","U","GT3","T","health","services","other","mother",15,3,2,1,1,0,0,0.5,1,0,1,1,1,0,3,2,3,1.5,3,3,3,13.5,14,13,54
"GP","M","U","LE3","A","services","other","home","mother",16,3.5,4,1,2,0,0.5,1,0.5,1,1,1,1,0.5,4.5,3.5,4,3,3,5,10,10.5,11.5,11,62.5
"GP","M","U","GT3","T","teacher","teacher","home","mother",16,3.5,4,1,2,0,0.5,1,0.5,1,1,1,1,0.5,4.5,3.5,4,3,3,5,10,10.5,11.5,11,62.5
"GP","M","U","GT3","T","health","services","home","mother",15,4,4,1.5,2,0,0,1,0.5,0.5,0.5,1,1,0,4.5,3.5,1.5,2,2.5,5,0,13,13.5,14.5,60.5
"GP","M","U","GT3","T","services","services","reputation","mother",15,4,4,1.5,2,0,0,1,0.5,0.5,0.5,1,1,0,4.5,3.5,1.5,2,2.5,5,0,13,13.5,14.5,60.5
