"school";"sex";"age";"address";"famsize";"Pstatus";"Medu";"Fedu";"Mjob";"Fjob";"reason";"guardian";"traveltime";"studytime";"failures";"schoolsup";"famsup";"paid";"activities";"nursery";"higher";"internet";"romantic";"famrel";"freetime";"goout";"Dalc";"Walc";"health";"absences";"G1";"G2";"G3";"w"
"1";"GP";"F";18;"U";"GT3";"A";4;4;"at_home";"teacher";"course";"mother";2;2;0;1;0;0;0;1;1;0;0;4;3;4;1;1;3;6;5;6;6;51
"2";"GP";"F";17;"U";"GT3";"T";1;1;"at_home";"other";"course";"father";1;2;0;0;1;0;0;0;1;1;0;5;3;3;1;1;3;4;5;5;6;52
"3";"GP";"F";15;"U";"LE3";"T";1;1;"at_home";"other";"other";"mother";1;2;3;1;0;1;0;1;1;1;0;4;3;2;2;3;3;10;7;8;10;53
"4";"GP";"F";15;"U";"GT3";"T";4;2;"health";"services";"home";"mother";1;3;0;0;1;1;1;1;1;1;1;3;2;2;1;1;5;2;15;14;15;59
"5";"GP";"F";16;"U";"GT3";"T";3;3;"other";"other";"home";"father";1;2;0;0;1;1;0;1;1;0;0;4;3;2;1;2;5;4;6;10;10;57
"6";"GP";"M";16;"U";"LE3";"T";4;3;"services";"other";"reputation";"mother";1;2;0;0;1;1;1;1;1;1;0;5;4;2;1;2;5;10;15;15;15;43
"7";"GP";"M";16;"U";"LE3";"T";2;2;"other";"other";"home";"mother";1;2;0;0;0;0;0;1;1;1;0;4;4;4;1;1;3;0;12;12;11;42
"8";"GP";"F";17;"U";"GT3";"A";4;4;"other";"teacher";"home";"mother";2;2;0;1;1;0;0;1;1;0;0;4;1;4;1;1;1;6;6;5;6;38
"9";"GP";"M";15;"U";"LE3";"A";3;2;"services";"other";"home";"mother";1;2;0;0;1;1;0;1;1;1;0;4;2;2;1;1;1;0;16;18;19;42
"10";"GP";"M";15;"U";"GT3";"T";3;4;"other";"other";"home";"mother";1;2;0;0;1;1;1;1;1;1;0;5;5;1;1;1;5;0;14;15;15;59
"11";"GP";"F";15;"U";"GT3";"T";4;4;"teacher";"health";"reputation";"mother";1;2;0;0;1;1;0;1;1;1;0;3;3;3;1;2;2;0;10;8;9;51
"12";"GP";"F";15;"U";"GT3";"T";2;1;"services";"other";"reputation";"father";3;3;0;0;1;0;1;1;1;1;0;5;2;2;1;1;4;4;10;12;12;62
"13";"GP";"M";15;"U";"LE3";"T";4;4;"health";"services";"course";"father";1;1;0;0;1;1;1;1;1;1;0;4;3;3;1;3;5;2;14;14;14;66
"14";"GP";"M";15;"U";"GT3";"T";4;3;"teacher";"other";"course";"mother";2;2;0;0;1;1;0;1;1;1;0;5;4;3;1;2;3;2;10;10;11;51
"15";"GP";"M";15;"U";"GT3";"A";2;2;"other";"other";"home";"other";1;3;0;0;1;0;0;1;1;1;1;4;5;2;1;1;3;0;14;16;16;41
"16";"GP";"F";16;"U";"GT3";"T";4;4;"health";"other";"home";"mother";1;1;0;0;1;0;0;1;1;1;0;4;4;4;1;2;2;4;14;14;14;45
"17";"GP";"F";16;"U";"GT3";"T";4;4;"services";"services";"reputation";"mother";1;3;0;0;1;1;1;1;1;1;0;3;2;3;1;2;2;6;13;14;14;49
"18";"GP";"F";16;"U";"GT3";"T";3;3;"other";"other";"reputation";"mother";3;2;0;1;1;0;1;1;1;0;0;5;3;2;1;1;4;4;8;10;10;54
"19";"GP";"M";17;"U";"GT3";"T";3;2;"services";"services";"course";"mother";1;1;3;0;1;0;1;1;1;1;0;5;5;5;2;4;5;16;6;5;5;45
"20";"GP";"M";16;"U";"LE3";"T";4;3;"health";"other";"home";"father";1;1;0;0;0;1;1;1;1;1;0;3;1;3;1;3;5;4;8;10;10;55
"21";"GP";"M";15;"U";"GT3";"T";4;3;"teacher";"other";"reputation";"mother";1;2;0;0;0;0;0;1;1;1;0;4;4;1;1;1;1;0;13;14;15;38
"22";"GP";"M";15;"U";"GT3";"T";4;4;"health";"health";"other";"father";1;1;0;0;1;1;0;1;1;1;0;5;4;2;1;1;5;0;12;15;15;60
"23";"GP";"M";16;"U";"LE3";"T";4;2;"teacher";"other";"course";"mother";1;2;0;0;0;0;1;1;1;1;0;4;5;1;1;3;5;2;15;15;16;42
